sku_id,n_cens,cens_share,bias_corrected,bias_raw,bias_raw_se,vol_corrected,vol_raw,shift,raw_sign,n_cens_measurable,ship_ratio_cens_median,ship_ratio_cens_min,ship_ratio_ref,share_cens_at_ceiling,binding_verdict,verdict,evidence,group,n_months,n_usable_months,censored_share,sigma_log_demand,vol_df_correction,chronic_bias_se_l1,chronic_bias_se_l2,chronic_bias_se_l3,chronic_bias_pct_l1,chronic_bias_pct_l2,chronic_bias_pct_l3
A-01,6,0.1666666666666666,-0.0235948268915993,0.0133327719551806,0.0352787374038253,0.1524772747148916,0.2065129119230407,-0.0369275988467799,indistinguishable,6,1.0,1.0,0.8787794324565739,1.0,BINDING (correction justified),INCONCLUSIVE,raw bias +0.0133 +/- 0.0353 (indistinguishable); stockouts BINDING (correction justified),A,36,36,0.1666666666666666,0.1516020156897909,0.1593408616821964,0.0384169070893188,0.0444531383187594,0.0439437532134182,-0.023318645379464,-0.0983684929383983,-0.0769582544833076
A-02,4,0.1111111111111111,-0.0377890772278277,-0.0123512862943257,0.043100160613786,0.2732740111378839,0.2649200755579303,-0.025437790933502,indistinguishable,4,1.0,1.0,0.7315502724120851,1.0,BINDING (correction justified),INCONCLUSIVE,raw bias -0.0124 +/- 0.0431 (indistinguishable); stockouts BINDING (correction justified),A,36,36,0.1111111111111111,0.2683686259204474,0.2858988510864502,0.0463656655029014,0.0550618324899473,0.050749971777019,-0.037083979610209,-0.0144020230212798,-0.0395318345983023
A-03,0,0.0,0.0523717549126036,0.0523717549126036,0.0603218294586092,0.3225854825470568,0.3225854825470568,0.0,indistinguishable,0,,,0.3303498797254857,,no measurable censored months,n/a (below materiality),,A,36,36,0.0,0.3146355930413204,0.3377015620225986,0.0603218294586092,0.0730031354055084,0.0738909096672745,0.0537674129186494,-0.0256248582614762,-0.024065774642633
A-04,0,0.0,0.0189657510780181,0.0189657510780181,0.0626344881088059,0.2634996989885074,0.2634996989885074,0.0,indistinguishable,0,,,0.4904768259944764,,no measurable censored months,n/a (below materiality),,A,36,36,0.0,0.2590902387999003,0.2756415770587625,0.0626344881088059,0.0755095608853142,0.0706872584163143,0.0191467433423765,0.0503292934401493,0.0207070339400198
A-05,0,0.0,0.1130648350708423,0.1130648350708423,0.0871058712520915,0.3571360230830665,0.3571360230830665,0.0,positive,0,,,0.2263095722872358,,no measurable censored months,n/a (below materiality),,A,36,36,0.0,0.3464732501227763,0.3740568279620848,0.0871058712520915,0.0898608486249559,0.0966428794408601,0.1197045267175617,0.2314123315583077,0.2906993964516295
A-06,0,0.0,0.0503206464512658,0.0503206464512658,0.0736676605318612,0.354863012926022,0.354863012926022,0.0,indistinguishable,0,,,0.2996228170569033,,no measurable censored months,n/a (below materiality),,A,36,36,0.0,0.3443942065814875,0.3716634873797236,0.0736676605318612,0.0820411444658987,0.0812652905196477,0.0516082367709424,0.1754497630061223,0.0041849011133288
A-07,1,0.0277777777777777,-0.0047042031240863,0.0082691167608045,0.0685359987373295,0.3403638187305058,0.339220626619741,-0.0129733198848909,indistinguishable,1,1.0,1.0,0.4126136175158816,1.0,BINDING (correction justified),n/a (below materiality),,A,36,36,0.0277777777777777,0.3310804010446245,0.3564021016190195,0.0692683664818381,0.082642339943623,0.070017770807921,-0.0046931556904827,0.0395399025690633,-0.0434790560215258
A-08,0,0.0,0.0786407112306231,0.0786407112306231,0.0489910708755492,0.242574817215182,0.242574817215182,0.0,positive,0,,,0.6080725833377982,,no measurable censored months,n/a (below materiality),,A,36,36,0.0,0.2391158086827267,0.2536938649554038,0.0489910708755492,0.0530103750661621,0.0545683353619712,0.081815568052882,0.1339834269848215,0.0981035975698795
A-09,8,0.2222222222222222,-0.0341850574351405,0.0021126603631156,0.0245118640084791,0.2309161441456023,0.2320839977121651,-0.0362977177982562,indistinguishable,8,1.0,1.0,0.8764794559596798,1.0,BINDING (correction justified),INCONCLUSIVE,raw bias +0.0021 +/- 0.0245 (indistinguishable); stockouts BINDING (correction justified),A,36,36,0.2222222222222222,0.2279237406665626,0.2414715526326853,0.0268543092866116,0.030307227951257,0.0442909799056061,-0.0336073500563156,-0.0791365969441683,-0.1204917072575546
A-10,3,0.0857142857142857,0.0305793127172836,0.1264841384428387,0.098761046752394,0.4396061245719048,0.6006340684145021,-0.0959048257255551,positive,3,1.0,1.0,0.7112308105564368,1.0,BINDING (correction justified),n/a (below materiality),,A,35,35,0.0857142857142857,0.4203375400521894,0.4617177815124147,0.0860189172630395,0.0831009808280945,0.0849622664877919,0.0310516623149456,0.063066558335563,0.0461017079846364
A-11,0,0.0,0.076487277537835,0.076487277537835,0.0435094789593213,0.2501204229549566,0.2501204229549566,0.0,positive,0,,,0.4334716759891846,,no measurable censored months,n/a (below materiality),,A,36,36,0.0,0.2463357535651459,0.2616066091374879,0.0435094789593213,0.0543141847906504,0.0498531281550476,0.0794884564987562,0.1007542748668851,0.1153060178745544
A-12,0,0.0,0.0330684229409953,0.0330684229409953,0.0243560640236833,0.1499999888004037,0.1499999888004037,0.0,positive,0,,,0.5588616867551618,,no measurable censored months,n/a (below materiality),,A,36,36,0.0,0.1491663690275886,0.1567494332809272,0.0243560640236833,0.028456692324923,0.0303410761757755,0.033621260228309,0.0516562292920885,0.0388474979361427
A-13,9,0.2647058823529412,-0.1961849145920504,-0.012021595978952,0.0921643983003468,0.4248408759875052,0.5309964293285667,-0.1841633186130983,indistinguishable,9,1.0,1.0,0.8324527910354844,1.0,BINDING (correction justified),INCONCLUSIVE,raw bias -0.0120 +/- 0.0922 (indistinguishable); stockouts BINDING (correction justified),A,36,34,0.2647058823529412,0.4073443403435615,0.4467647198283143,0.0856636193766849,0.1012104898505133,0.0841147783306635,-0.1781397533260164,-0.1393284500329835,-0.1692677132831042
A-14,0,0.0,0.1479410597889736,0.1479410597889736,0.067759402704655,0.347539205293141,0.347539205293141,0.0,positive,0,,,0.3705037443240163,,no measurable censored months,n/a (below materiality),,A,36,36,0.0,0.3376803127296396,0.3639535288064348,0.067759402704655,0.0801156015153723,0.0786298731523096,0.1594445564421789,0.1078749470667345,0.0346188071066528
A-15,2,0.0555555555555555,-0.0077136567701123,0.0067888674602261,0.0663079775643847,0.3891991891637532,0.3880590031180145,-0.0145025242303385,indistinguishable,2,1.0,1.0,0.5008636003002728,1.0,BINDING (correction justified),n/a (below materiality),,A,36,36,0.0555555555555555,0.3755590570921778,0.4078425796518446,0.0694152641112741,0.0659718300683282,0.0975506812228869,-0.0076839828668499,-0.1129199512152597,-0.0563573103367922
A-16,10,0.2777777777777778,-0.0613760670512312,-0.0035451274754428,0.0287301230367552,0.2028135211900511,0.185889221274596,-0.0578309395757884,indistinguishable,10,1.0,1.0,0.9787051762040556,1.0,BINDING (correction justified),INCONCLUSIVE,raw bias -0.0035 +/- 0.0287 (indistinguishable); stockouts BINDING (correction justified),A,36,36,0.2777777777777778,0.2007731426299381,0.2120273335135401,0.0306232431006825,0.0385955880777949,0.0476604317478095,-0.0595305063252069,-0.1081000315837319,-0.1215547031345858
A-17,0,0.0,0.1081842665959655,0.1081842665959655,0.0405823379359723,0.2298346796073779,0.2298346796073779,0.0,positive,0,,,0.3119424871630997,,no measurable censored months,n/a (below materiality),,A,36,36,0.0,0.2268833591030029,0.2403380221010353,0.0405823379359723,0.0413741029931493,0.0497225654286972,0.1142530460867027,0.1873596970086466,0.2354686816023116
A-18,0,0.0,0.1519416200246982,0.1519416200246982,0.0706433630052972,0.3688594200254079,0.3688594200254079,0.0,positive,0,,,0.476895321545014,,no measurable censored months,n/a (below materiality),,A,36,36,0.0,0.3571606561388591,0.386404551331107,0.0706433630052972,0.090208406518006,0.0941573785506648,0.1640922747700814,0.1008311846312796,0.0654089135840677
A-19,1,0.0285714285714285,0.0406409078085805,0.0451423516120904,0.0671007490174544,0.3429801810030536,0.3344920755641994,-0.0045014438035099,indistinguishable,1,1.0,1.0,0.4645283545182821,1.0,BINDING (correction justified),n/a (below materiality),,A,36,35,0.0285714285714285,0.3334894414486076,0.3596516481674316,0.0689517670616631,0.0767158842527017,0.087938447140569,0.0414780517536815,-0.040828125550772,-0.142726758416135
A-20,0,0.0,0.0338293336782561,0.0338293336782561,0.0557077501065933,0.2822734926149376,0.2822734926149376,0.0,indistinguishable,0,,,0.3727042562165725,,no measurable censored months,n/a (below materiality),,A,36,36,0.0,0.2768811102417952,0.2953460552303033,0.0557077501065933,0.0623816458247416,0.0745896393138992,0.0344080530450671,0.0350873279139438,0.0247198415860586
A-21,0,0.0,0.0449460785179537,0.0449460785179537,0.030492233929454,0.1593736461255869,0.1593736461255869,0.0,positive,0,,,0.6606383012664196,,no measurable censored months,n/a (below materiality),,A,36,36,0.0,0.1583753151866285,0.1665556792074015,0.030492233929454,0.0254867363557169,0.0382029137899825,0.0459714580568983,0.0360567295993367,-0.0074236345471298
