sku_id,line_id,optimal_cover_weeks,optimal_service_target,total_cost_at_optimum_eur,total_cost_at_default_eur,attribution_mode,saving_eur,edge_optimum_flag,assumption_fingerprint
A-01,L1,4.0,0.972,4139.257594674474,4139.257594674474,separable,0.0,False,v0.1:95b679861c64
A-02,L1,4.0,0.985,5110.89767875586,5665.033482665007,separable,554.1358039091465,False,v0.1:95b679861c64
A-04,L1,2.5,0.995,3679.4835187673602,4144.408495091353,separable,464.9249763239927,True,v0.1:95b679861c64
A-06,L1,2.5,0.949,5923.263423237918,10370.982878357408,separable,4447.719455119491,False,v0.1:95b679861c64
A-07,L1,1.0,0.903,3480.763837732354,15562.385594407344,separable,12081.62175667499,True,v0.1:95b679861c64
A-10,L1,1.0,0.88,9150.5910441484,17029.844252077168,separable,7879.2532079287685,True,v0.1:95b679861c64
A-12,L1,4.0,0.995,16426.996121870914,18758.572037128866,separable,2331.575915257952,True,v0.1:95b679861c64
A-18,L1,1.0,0.903,92106.84319555345,97018.42941789914,separable,4911.586222345693,True,v0.1:95b679861c64
A-20,L1,1.0,0.903,3989.0682051496706,15626.485916671152,separable,11637.41771152148,True,v0.1:95b679861c64
A-21,L1,4.0,0.995,17454.14587982469,18968.31713436878,separable,1514.1712545440896,True,v0.1:95b679861c64
A-23,L1,2.5,0.949,25613.403688011884,34417.02361248298,separable,8803.619924471099,False,v0.1:95b679861c64
A-28,L1,1.0,0.903,17923.833177158678,19786.458794918024,separable,1862.625617759346,True,v0.1:95b679861c64
A-29,L1,4.0,0.985,4500.833656632715,4696.038372637581,separable,195.204716004866,False,v0.1:95b679861c64
A-30,L1,4.0,0.972,5292.419048607206,5448.574825319012,separable,156.15577671180654,False,v0.1:95b679861c64
A-40,L1,4.0,0.995,30883.86620924329,32022.06387535324,separable,1138.1976661099507,True,v0.1:95b679861c64
A-03,L2,1.0,0.903,53302.2734613607,117462.53728225264,separable,64160.26382089194,True,v0.1:95b679861c64
A-09,L2,5.5,0.88,19403.26763044863,21893.903970056577,separable,2490.636339607947,True,v0.1:95b679861c64
A-13,L2,10.0,0.903,162554.0189007001,162554.0189007001,separable,0.0,True,v0.1:95b679861c64
A-15,L2,1.0,0.903,22299.78728855257,99585.33281819284,separable,77285.54552964027,True,v0.1:95b679861c64
A-16,L2,5.5,0.903,18119.081608554654,24849.174904522057,separable,6730.093295967403,False,v0.1:95b679861c64
A-22,L2,4.0,0.995,4388.068677262326,6895.101428220643,separable,2507.0327509583176,True,v0.1:95b679861c64
A-24,L2,5.5,0.926,3110.787647843845,6852.010379997109,separable,3741.222732153264,False,v0.1:95b679861c64
A-26,L2,1.0,0.903,42614.75259816339,117149.33760502706,separable,74534.58500686366,True,v0.1:95b679861c64
A-32,L2,5.5,0.926,11899.224480326482,19218.586920047044,separable,7319.362439720562,False,v0.1:95b679861c64
A-34,L2,5.5,0.88,4175.247526689555,5334.7965770833,separable,1159.5490503937444,True,v0.1:95b679861c64
A-36,L2,1.0,0.903,244170.5186952965,377928.791911013,separable,133758.27321571653,True,v0.1:95b679861c64
A-38,L2,4.0,0.995,4209.60737360678,6224.101973371742,separable,2014.494599764962,True,v0.1:95b679861c64
A-39,L2,5.5,0.88,9696.043555421238,17821.66118642842,separable,8125.617631007182,True,v0.1:95b679861c64
A-42,L2,5.5,0.903,3639.4664655593856,7305.61230208824,separable,3666.145836528854,False,v0.1:95b679861c64
A-43,L2,1.0,0.88,64075.62398665713,152017.09890112677,separable,87941.47491446964,True,v0.1:95b679861c64
A-05,L3,2.5,0.949,8024.517878747139,9951.292172065532,separable,1926.7742933183936,False,v0.1:95b679861c64
A-08,L3,4.0,0.995,9779.909432027891,15210.932575674871,separable,5431.02314364698,True,v0.1:95b679861c64
A-11,L3,5.5,0.88,14058.28710139366,19161.046037663164,separable,5102.7589362695035,True,v0.1:95b679861c64
A-14,L3,2.5,0.949,40003.3264472808,40941.146681550745,separable,937.8202342699442,False,v0.1:95b679861c64
A-17,L3,4.0,0.995,149570.8820770466,151764.2984117055,separable,2193.4163346588903,True,v0.1:95b679861c64
A-19,L3,2.5,0.995,5180.380593077503,9872.241381384656,separable,4691.860788307153,True,v0.1:95b679861c64
A-25,L3,4.0,0.995,57767.78339448871,61931.57428755625,separable,4163.79089306754,True,v0.1:95b679861c64
A-27,L3,4.0,0.995,7151.19158937025,7151.543268657577,separable,0.35167928732698783,True,v0.1:95b679861c64
A-31,L3,2.5,0.995,5043.497674332252,6417.195583072684,separable,1373.6979087404316,True,v0.1:95b679861c64
A-33,L3,4.0,0.88,7108.154924764645,9268.692803637357,separable,2160.537878872712,True,v0.1:95b679861c64
A-35,L3,2.5,0.995,6601.341390006944,7873.252919069044,separable,1271.9115290621003,True,v0.1:95b679861c64
A-37,L3,5.5,0.88,64220.359454395846,81177.97930114128,separable,16957.619846745438,True,v0.1:95b679861c64
A-41,L3,4.0,0.926,6636.311867999547,10754.191357941392,separable,4117.879489941845,False,v0.1:95b679861c64
A-44,L3,2.5,0.995,5257.16481852046,5588.0324201226595,separable,330.8676016021991,True,v0.1:95b679861c64
A-45,L3,2.5,0.995,69704.99572577295,69704.99572577295,separable,0.0,True,v0.1:95b679861c64
B-01,L4,5.5,0.88,12341.295011007669,17604.454022306432,separable,5263.159011298763,True,v0.1:95b679861c64
B-02,L4,1.0,0.949,4235.103521533726,8358.918322814168,separable,4123.814801280442,True,v0.1:95b679861c64
B-03,L4,1.0,0.903,109473.55917641998,111458.19302015661,separable,1984.6338437366358,True,v0.1:95b679861c64
B-04,L4,4.0,0.995,4860.641314010765,7326.738468532512,separable,2466.097154521747,True,v0.1:95b679861c64
B-05,L4,2.5,0.949,3587.1589328205278,5599.921755740751,separable,2012.7628229202232,False,v0.1:95b679861c64
B-06,L4,1.0,0.903,30841.45160883112,37361.07408674429,separable,6519.622477913166,True,v0.1:95b679861c64
B-07,L4,4.0,0.995,29185.515881314317,30806.898719526995,separable,1621.3828382126776,True,v0.1:95b679861c64
B-08,L4,4.0,0.985,7118.1992270989795,7724.653065554983,separable,606.4538384560037,False,v0.1:95b679861c64
B-09,L4,5.5,0.88,14401.839197931085,21444.389376732594,separable,7042.550178801508,True,v0.1:95b679861c64
B-10,L4,1.0,0.903,3514.1981789354218,4196.782453812426,separable,682.5842748770042,True,v0.1:95b679861c64
B-11,L4,4.0,0.995,4188.593230194914,5697.731836297804,separable,1509.1386061028898,True,v0.1:95b679861c64
B-12,L4,4.0,0.985,5210.853606489496,5579.335018422746,separable,368.48141193324955,False,v0.1:95b679861c64
B-13,L4,4.0,0.995,14452.120862242824,16939.926885260473,separable,2487.806023017649,True,v0.1:95b679861c64
B-14,L4,2.5,0.949,13732.477544088488,15364.210774419169,separable,1631.7332303306812,False,v0.1:95b679861c64
B-15,L4,4.0,0.972,6291.490241961763,6508.895791612852,separable,217.40554965108913,False,v0.1:95b679861c64
