sku_id,line_id,abc_class,cover_weeks,service_target,lost_sales_eur,excess_obsolescence_eur,working_capital_cost_eur,line_conversion_cost_eur,assumption_fingerprint
A-01,L1,B,5.5,0.88,0.6099719421655486,0.0,4613.474503316396,3752501.72308568,v0.1:703d09b1e1a7
A-02,L1,B,5.5,0.88,630.5562017055269,0.0,4569.756415544184,3752501.72308568,v0.1:703d09b1e1a7
A-04,L1,C,1.0,0.88,2935.8475985440755,0.0,2867.6775791857517,3752501.72308568,v0.1:703d09b1e1a7
A-06,L1,C,1.0,0.88,806.8315413569653,2575.9556112533237,2797.218170886842,3752501.72308568,v0.1:703d09b1e1a7
A-07,L1,C,1.0,0.88,1305.0876188843708,0.0,2175.676218847983,3752501.72308568,v0.1:703d09b1e1a7
A-10,L1,C,1.0,0.88,1790.5834412433644,5004.556245459889,2355.4513574451453,3752501.72308568,v0.1:703d09b1e1a7
A-12,L1,A,5.5,0.88,192.91307851422982,0.0,18535.773831623723,3752501.72308568,v0.1:703d09b1e1a7
A-18,L1,C,1.0,0.88,269.25907094489776,84565.99104777588,7271.593076832659,3752501.72308568,v0.1:703d09b1e1a7
A-20,L1,C,1.0,0.88,1519.2845267487778,0.0,2469.7836784008937,3752501.72308568,v0.1:703d09b1e1a7
A-21,L1,A,5.5,0.88,201.05532390771597,0.0,19470.626622884956,3752501.72308568,v0.1:703d09b1e1a7
A-23,L1,C,1.0,0.88,552.4707907808987,20158.273851883467,4995.454565006416,3752501.72308568,v0.1:703d09b1e1a7
A-28,L1,C,1.0,0.88,1675.3068255719543,13071.774045181772,3176.752306404952,3752501.72308568,v0.1:703d09b1e1a7
A-29,L1,B,5.5,0.88,76.59270550041043,0.0,4615.268898227447,3752501.72308568,v0.1:703d09b1e1a7
A-30,L1,B,5.5,0.88,41.83223317710874,0.0,6377.9794196965395,3752501.72308568,v0.1:703d09b1e1a7
A-40,L1,A,5.5,0.88,21.959508657574204,0.0,35111.88199789238,3752501.72308568,v0.1:703d09b1e1a7
